v0101,v0102,v0103,v0103A,v0103B,v0104,v0201,v02A01,v02A02,v02A03,v02B01,v0301,v0302,v04A02,V04A03,V04B01,Exception,route,soortGezag,gezag_ouder1,gezag_ouder2,gezag_niet_ouder1,gezag_niet_ouder2,Index,Uitleg
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,12,Ja_ouder2,,,,9a,OG1,Ja,Nee,Nee,Nee,951,Ingezeten - minderjarig - adoptie NL akte - categorie 11 ouder1 en ouder2 - ouder2 is onbevoegd - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Ja_beiden,,,,10,G,Nee,Nee,Nee,Nee,1050,Ingezeten - minderjarig - categorie 11 ouder1 en ouder2 - beide ouders onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,12,Ja_beiden,,,,10a,G,Nee,Nee,Nee,Nee,1051,Ingezeten - minderjarig - adoptie NL akte - categorie 11 ouder1 en ouder2 - beide ouders onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,,,,11e,N,Nee,Nee,Nee,Nee,1100,gezag is niet te bepalen omdat de volgende relevante gegevens ontbreken: %s
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,1,,,,,11ae,N,Nee,Nee,Nee,Nee,1101,gezag is niet te bepalen omdat de volgende relevante gegevens ontbreken: %s
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Nee,,,11,OG1,Ja,Nee,Nee,Nee,1150,Ingezeten - minderjarig - categorie 11 ouder1 - beide ouders bevoegd - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,1,,Nee,,,11a,OG1,Ja,Nee,Nee,Nee,1151,Ingezeten - minderjarig - adoptie NL akte - categorie 11 ouder1 - beide ouders bevoegd - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Nee_ouder1,,,11o1,OG1,Ja,Nee,Nee,Nee,1160,Ingezeten - minderjarig - categorie 11 ouder1 - ouder1 bevoegd - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,1,,Nee_ouder1,,,11ao1,OG1,Ja,Nee,Nee,Nee,1161,Ingezeten - minderjarig - adoptie NL akte - categorie 11 ouder1 - ouder1 bevoegd - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Nee_ouder2,,,11o2,G,Nee,Nee,Nee,Nee,1170,Ingezeten - minderjarig - categorie 11 ouder1 - ouder1 onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,1,,Nee_ouder2,,,11ao2,G,Nee,Nee,Nee,Nee,1171,Ingezeten - minderjarig - adoptie NL akte - categorie 11 ouder1 - ouder1 onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Ja,,,12,G,Nee,Nee,Nee,Nee,1250,Ingezeten - minderjarig - categorie 11 ouder1 - beide ouders onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,1,,Ja,,,12a,G,Nee,Nee,Nee,Nee,1251,Ingezeten - minderjarig - adoptie NL akte - categorie 11 ouder1 - beide ouders onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2,,,,,13e,N,Nee,Nee,Nee,Nee,1300,gezag is niet te bepalen omdat de volgende relevante gegevens ontbreken: %s
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,2,,,,,13ae,N,Nee,Nee,Nee,Nee,1301,gezag is niet te bepalen omdat de volgende relevante gegevens ontbreken: %s
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2,,Nee,,,13,OG1,Nee,Ja,Nee,Nee,1350,Ingezeten - minderjarig - categorie 11 ouder2 - beide ouders bevoegd - soort gezag is OG1 - ouder2 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,2,,Nee,,,13a,OG1,Nee,Ja,Nee,Nee,1351,Ingezeten - minderjarig - adoptie NL akte - categorie 11 ouder2 - beide ouders bevoegd - soort gezag is OG1 - ouder2 heeft gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2,,Nee_ouder1,,,13o1,G,Nee,Nee,Nee,Nee,1360,Ingezeten - minderjarig - categorie 11 ouder2 - ouder2 is onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,2,,Nee_ouder1,,,13ao1,G,Nee,Nee,Nee,Nee,1361,Ingezeten - minderjarig - adoptie NL akte - categorie 11 ouder2 - ouder2 is onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2,,Nee_ouder2,,,13o2,OG1,Nee,Ja,Nee,Nee,1370,Ingezeten - minderjarig - categorie 11 ouder2 - ouder1 onbevoegd - soort gezag is OG1 - ouder2 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,2,,Nee_ouder2,,,13ao2,OG1,Nee,Ja,Nee,Nee,1371,Ingezeten - minderjarig - adoptie NL akte - categorie 11 ouder2 - ouder1 onbevoegd - soort gezag is OG1 - ouder2 heeft gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2,,Ja,,,14,G,Nee,Nee,Nee,Nee,1450,Ingezeten - minderjarig - categorie 11 ouder2 - beide ouders onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,2,,Ja,,,14a,G,Nee,Nee,Nee,Nee,1451,Ingezeten - minderjarig - adoptie NL akte - categorie 11 ouder2 - beide ouders onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Ja,,,,,,15e,N,Nee,Nee,Nee,Nee,1500,gezag niet bepalen omdat relevante gevens ontbreken bij het bepalen van het aantal ouders. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Ja,,,,,,15ae,N,Nee,Nee,Nee,Nee,1501,gezag niet bepalen omdat relevante gevens ontbreken bij het bepalen van het aantal ouders. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Nee,,Ja,Geen_ouders,,,,,Ja,,,,,,15,G,Nee,Nee,Nee,Nee,1550,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft geen ouders - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Ja,Ja,Ja,Geen_ouders,,,,,Ja,,,,,,15a,G,Nee,Nee,Nee,Nee,1551,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft geen ouders - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Nee,,Ja,Twee_ouders,,,,,Ja,,,,,,16e,N,Nee,Nee,Nee,Nee,1600,gezag is niet te bepalen omdat relevante gegevens ontbreken bij de bepaling van gezag. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Ja,Ja,Ja,Twee_ouders,,,,,Ja,,,,,,16ae,N,Nee,Nee,Nee,Nee,1601,gezag is niet te bepalen omdat relevante gegevens ontbreken bij de bepaling van gezag. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Nee,,Ja,1_of_2_puntouders,,,,,Ja,,,,,,16,N,Nee,Nee,Nee,Nee,1650,gezag is niet te bepalen omdat één of meer ouders onbekend is.
Ja,Ja,Nee,Ja,Ja,Ja,1_of_2_puntouders,,,,,Ja,,,,,,16a,N,Nee,Nee,Nee,Nee,1651,gezag is niet te bepalen omdat één of meer ouders onbekend is.
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,,Ja,,,,,,17e,N,Nee,Nee,Nee,Nee,1700,gezag is niet te bepalen omdat relevante gegevens ontbreken bij de bepaling van gezag. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,,Ja,,,,,,17ae,N,Nee,Nee,Nee,Nee,1701,gezag is niet te bepalen omdat relevante gegevens ontbreken bij de bepaling van gezag. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Nee,Ja,,,,,,17ee,N,Nee,Nee,Nee,Nee,1710,gezag is niet te bepalen omdat bij bepaling van gezag relevante gegevens ontbreken. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Nee,Ja,,,,,,17aee,N,Nee,Nee,Nee,Nee,1711,gezag is niet te bepalen omdat bij bepaling van gezag relevante gegevens ontbreken. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Nee,Ja,,,Ja,,,17,G,Nee,Nee,Nee,Nee,1750,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder ongehuwd/geen partnerschap - ouder onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Nee,Ja,,,Ja,,,17a,G,Nee,Nee,Nee,Nee,1751,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder ongehuwd/geen partnerschap - ouder onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Nee,Ja,,,Nee,,,18,N,Nee,Nee,Nee,Nee,1850,gezag kan niet worden bepaald omdat niet kan worden bepaald welke ouder gezag heeft.
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Nee,Ja,,,Nee,,,18a,N,Nee,Nee,Nee,Nee,1851,gezag kan niet worden bepaald omdat niet kan worden bepaald welke ouder gezag heeft.
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Nee,Ja,,,Nee_ouder1,,,18o1,OG1,Ja,Nee,Nee,Nee,1860,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder ongehuwd/geen partnerschap - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Nee,Ja,,,Nee_ouder1,,,18ao1,OG1,Ja,Nee,Nee,Nee,1861,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder ongehuwd/geen partnerschap - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Nee,Ja,,,Nee_ouder2,,,18o2,OG1,Nee,Ja,Nee,Nee,1870,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder ongehuwd/geen partnerschap - soort gezag is OG1 - ouder2 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Nee,Ja,,,Nee_ouder2,,,18ao2,OG1,Nee,Ja,Nee,Nee,1871,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder ongehuwd/geen partnerschap - soort gezag is OG1 - ouder2 heeft gezag
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Ja,Ja,,,,,,19e,N,Nee,Nee,Nee,Nee,1900,gezag kan niet worden bepaald omdat relevante gegevens onbreken bij het bepalen van gezag. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Ja,Ja,,,,,,19ae,N,Nee,Nee,Nee,Nee,1901,ezag kan niet worden bepaald omdat relevante gegevens onbreken bij het bepalen van gezag. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Ja,Ja,,,,Nee,,19,GG,Ja,Ja,Ja,Ja,1950,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder is gehuwd of partnerschap - ouder en partner zijn bevoegd tot gezag - soort gezag is GG - ouder en partner gezag
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Ja,Ja,,,,Nee,,19a,GG,Ja,Ja,Ja,Ja,1951,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder is gehuwd of partnerschap - ouder en partner zijn bevoegd tot gezag - soort gezag is GG - ouder en partner gezag
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Ja,Ja,,,,Ja_nietouder1,,20no1,OG1,Ja,Nee,Nee,Nee,2060,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder gehuwd/partnerschap - partner is onbevoegd tot gezag - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Ja,Ja,,,,Ja_nietouder1,,20ano1,OG1,Ja,Nee,Nee,Nee,2061,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder gehuwd/partnerschap - partner is onbevoegd tot gezag - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Ja,Ja,,,,Ja_nietouder2,,20no2,OG1,Nee,Ja,Nee,Nee,2070,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder gehuwd/partnerschap - partner is onbevoegd tot gezag - soort gezag is OG1 - ouder2 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Ja,Ja,,,,Ja_nietouder2,,20ano2,OG1,Nee,Ja,Nee,Nee,2071,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder gehuwd/partnerschap - partner is onbevoegd tot gezag - soort gezag is OG1 - ouder2 heeft gezag
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Ja,Ja,,,,Ja_ouder1,,21o1,V,Nee,Nee,Ja,Nee,2160,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder gehuwd/partnerschap - ouder onbevoegd - soort gezag is V - de partner van ouder1 is voogd
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Ja,Ja,,,,Ja_ouder1,,21ao1,V,Nee,Nee,Ja,Nee,2161,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder gehuwd/partnerschap - ouder onbevoegd - soort gezag is V - de partner van ouder1 is voogd
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Ja,Ja,,,,Ja_ouder2,,21o2,V,Nee,Nee,Nee,Ja,2170,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder gehuwd/partnerschap - ouder onbevoegd - soort gezag is V - de partner van ouder2 is voogd
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Ja,Ja,,,,Ja_ouder2,,21ao2,V,Nee,Nee,Nee,Ja,2171,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder gehuwd/partnerschap - ouder onbevoegd - soort gezag is V - de partner van ouder2 is voogd
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Ja,Ja,,,,Ja_beiden,,22,G,Nee,Nee,Nee,Nee,2250,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder gehuwd/partnerschap - ouder en partner onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Ja,Ja,Ja,Een_ouder,,,,Ja,Ja,,,,Ja_beiden,,22a,G,Nee,Nee,Nee,Nee,2251,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft één ouder - ouder gehuwd/partnerschap - ouder en partner onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Nee,,Ja,Twee_ouders,,,,,,,,,,,23e,N,Nee,Nee,Nee,Nee,2300,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft twee ouders - exceptie - gezag is niet te bepalen omdat relevante gegevens ontbreken bij de bepaling van gezag. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Nee,,Ja,Twee_ouders,Nee,,,,Ja,,,,,,23ee,N,Nee,Nee,Nee,Nee,2310,gezag is niet te bepalen omdat bij de bepaling van gezag relevante gegevens ontbreken. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Ja,Ja,Ja,Twee_ouders,Nee,,,,Ja,,,,,,23aee,N,Nee,Nee,Nee,Nee,2311,gezag is niet te bepalen omdat bij de bepaling van gezag relevante gegevens ontbreken. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Nee,,Ja,Twee_ouders,Nee,,,,Ja,,Nee,,,,23,OG2,Ja,Ja,Nee,Nee,2350,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft twee ouders - huwelijk/partnerschap ouders nietig verklaard dan wel ontbonden door echtscheiding of ontbinding of overlijden - beide ouders bevoegd - soort gezag is OG2 - beide ouders gezag
Ja,Ja,Nee,Ja,Ja,Ja,Twee_ouders,Nee,,,,Ja,,Nee,,,,23a,OG2,Ja,Ja,Nee,Nee,2351,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft twee ouders - huwelijk/partnerschap ouders nietig verklaard dan wel ontbonden door echtscheiding of ontbinding of overlijden - beide ouders bevoegd - soort gezag is OG2 - beide ouders gezag
Ja,Ja,Nee,Nee,,Ja,Twee_ouders,Nee,,,,Ja,,Ja_ouder1,,,,24,OG1,Nee,Ja,Nee,Nee,2450,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft twee ouders - huwelijk/partnerschap vernietigd; of ontbonden door scheiding of overlijden - ouder1 onbevoegd - soort gezag is OG1 - ouder2 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,Twee_ouders,Nee,,,,Ja,,Ja_ouder1,,,,24a,OG1,Nee,Ja,Nee,Nee,2451,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft twee ouders - huwelijk/partnerschap ouders nietig verklaard dan wel ontbonden door echtscheiding of ontbinding of overlijden - ouder1 onbevoegd - soort gezag is OG1 - ouder2 heeft gezag
Ja,Ja,Nee,Nee,,Ja,Twee_ouders,Nee,,,,Ja,,Ja_ouder2,,,,25,OG1,Ja,Nee,Nee,Nee,2550,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft twee ouders - huwelijk/partnerschap ouders nietig verklaard dan wel ontbonden door echtscheiding of ontbinding of overlijden - ouder2 is onbevoegd - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,Twee_ouders,Nee,,,,Ja,,Ja_ouder2,,,,25a,OG1,Ja,Nee,Nee,Nee,2551,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft twee ouders - huwelijk/partnerschap ouders nietig verklaard dan wel ontbonden door echtscheiding of ontbinding of overlijden - ouder2 is onbevoegd - soort gezag is OG1 - ouder1 heeft gezag
Ja,Ja,Nee,Nee,,Ja,Twee_ouders,Nee,,,,Ja,,Ja_beiden,,,,26,G,Nee,Nee,Nee,Nee,2650,Ingezeten - minderjarig - categorie 11 en recentere gebeurtenis(sen) - heeft twee ouders - huwelijk/partnerschap ouders nietig verklaard dan wel ontbonden door echtscheiding of ontbinding of overlijden - beide ouders onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Ja,Ja,Ja,Twee_ouders,Nee,,,,Ja,,Ja_beiden,,,,26a,G,Nee,Nee,Nee,Nee,2651,Ingezeten - minderjarig - adoptie NL akte - categorie 11 en recentere gebeurtenis(sen) - heeft twee ouders - huwelijk/partnerschap ouders nietig verklaard dan wel ontbonden door echtscheiding of ontbinding of overlijden - beide ouders onbevoegd - soort gezag is G - tijdelijk geen gezag
Ja,Ja,Nee,Nee,,Ja,Twee_ouders,Ja,,,,Ja,,,,,,27e,N,Nee,Nee,Nee,Nee,2700,gezag is niet te bepalen omdat bij de bepaling van gezag relevante gegevens ontbreken. Het gaat om de volgende gegevens: %s
Ja,Ja,Nee,Ja,Ja,Ja,Twee_ouders,Ja,,,,Ja,,,,,,27ae,N,Nee,Nee,Nee,Nee,2701,gezag is niet te bepalen omdat bij de bepaling van gezag relevante gegevens ontbreken. Het gaat om de volgende gegevens: %s
