v0101,v0102,v0103,v0103A,v0103B,v0104,v0201,v02A01,v02A02,v02A03,v02B01,v0301,v0302,v04A02,V04A03,V04B01,Exception,route,soortGezag,gezag_ouder1,gezag_ouder2,gezag_niet_ouder1,gezag_niet_ouder2,Index,Uitleg
,,,,,,,,,,,,,,,,,0,N,Nee,Nee,Nee,Nee,2,"Route 0 ontstaat als in de bevraging of iemand geregistreerd staat een exceptie optreedt, de exceptie is te vinden in het ‘Exception veld. "
Nee,,,,,,,,,,,,,,,,,1,N,Nee,Nee,Nee,Nee,3,Persoon staat niet geregistreerd als inwoner van Nederland. Indicatie gezag is ‘N’ kan niet bepalen
Ja,,,,,,,,,,,,,,,,,2i,N,Nee,Nee,Nee,Nee,4,"Persoon heeft in vraag 1b gegevens die ertoe leiden dat geen uitspraak mogelijk is, betreft vooralsnog geen gegevens in onderzoek. Indicatie gezag is ‘N’ kan niet bepalen."
Ja,Nee_meerderjarig,,,,,,,,,,,,,,,,2m,NVT,Nee,Nee,Nee,Nee,5,Persoon is meerderjarig dus geen verdere vragen. Indicatie gezag is ‘Niet van Toepassing’
Ja,Nee_overleden,,,,,,,,,,,,,,,,2o,N,Nee,Nee,Nee,Nee,6,"Persoon is als minderjarige overleden dus geen verdere vragen. Soort gezag is ‘N’ kan niet bepalen, er is nog geen beslissing genomen over de afhandeling van gezag bij overleden minderjarigen"
Ja,Ja,,,,,,,,,,,,,,,,3i,N,Nee,Nee,Nee,Nee,7,Persoon is minderjarig er staan echter gegevens in onderzoek bij vraag 1c. Soort gezag is ‘N’ kan niet bepalen.
Ja,Ja,Ja,,,,,,,,,,,,,,,3,N,Nee,Nee,Nee,Nee,8,Persoon is minderjarig er zijn emigratie gegevens gevonden en buitenlandse rechtspraak of gezagswetten zijn niet meegenomen. Soort gezag is ‘N’ kan niet bepalen.
Ja,Ja,Nee,Nee,,,,,,,,,,,,,,4i,N,Nee,Nee,Nee,Nee,9,Persoon is minderjarig er is een probleem met categorie 11 indicatie gezag. Soort gezag is ‘N’ kan niet bepalen 
Ja,Ja,Nee,Nee,,Ja,,,,,,,,,,,,4ii,N,Nee,Nee,Nee,Nee,10,Persoon is minderjarig staat volgens het gezagsregister onder toezicht. Er is een  probleem met de ingangsdatum indicatie gezag. Soort gezag is ‘N’ kan niet bepalen.
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1D,,,,,4,V,Nee,Nee,Nee,Nee,11,Persoon is minderjarig staat volgens het gezagsregister onder toezicht van ouder1 en een derde. Soort gezag is ‘V’ voogdij.
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2D,,,,,5,V,Nee,Nee,Nee,Nee,12,Persoon is minderjarig staat volgens het gezagsregister onder toezicht van ouder2 en een derde. Soort gezag is ‘V’ voogdij.
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,D,,,,,6,V,Nee,Nee,Nee,Nee,13,Persoon is minderjarig staat volgens het gezagsregister onder toezicht van een derde. Soort gezag is ‘V’ voogdij.
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,,,,,7i,N,Nee,Nee,Nee,Nee,14,Persoon is minderjarig staat volgens het gezagsregister onder toezicht van ouder1 en ouder2. Bij het ophalen van de persoonslijsten van de ouders zijn relevante gegevens in onderzoek aangetroffen. Soort gezag is ‘N’ kan niet bepalen.
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Nee,,,,7,OG2,Ja,Ja,Nee,Nee,15,Persoon is minderjarig staat volgens het gezagsregister onder toezicht van ouder1 en ouder2. Beide ouders zijn bevoegd tot gezag. Soort gezag is ‘OG2’ Beide ouders hebben gezag.
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Ja_ouder1,,,,8,OG1,Nee,Ja,Nee,Nee,16,Persoon is minderjarig staat volgens het gezagsregister onder toezicht van ouder1 en ouder2. Ouder1 is onbevoegd tot gezag. Soort gezag is ‘OG1’ Ouder2 heeft gezag.
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Ja_ouder2,,,,9,OG1,Ja,Nee,Nee,Nee,17,Persoon is minderjarig staat volgens het gezagsregister onder toezicht van ouder1 en ouder2. Ouder2 is onbevoegd tot gezag. Soort gezag is ‘OG1’ Ouder1 heeft gezag.
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Ja_beiden,,,,10,G,Nee,Nee,Nee,Nee,18,Persoon is minderjarig staat volgens het gezagsregister onder toezicht van ouder1 en ouder2. Beide ouders zijn onbevoegd tot gezag. Soort gezag is ‘G’ Tijdelijk geen gezag.
