v0101,v0102,v0103,v0103A,v0103B,v0104,v0201,v02A01,v02A02,v02A03,v02B01,v0301,v0302,v04A02,V04A03,V04B01,Exception,route,soortGezag,gezag_ouder1,gezag_ouder2,gezag_niet_ouder1,gezag_niet_ouder2,Index,Uitleg
,,,,,,,,,,,,,,,,,0,N,Nee,Nee,Nee,Nee,0,Route 0 ontstaat als in de bevraging of iemand geregistreerd staat een exceptie optreedt; de exceptie is te vinden in het Exception veld
Nee,,,,,,,,,,,,,,,,,1,N,Nee,Nee,Nee,Nee,150,Persoon staat niet geregistreerd als inwoner van Nederland => soort gezag is N kan niet bepalen
Ja,,,,,,,,,,,,,,,,,2e,N,Nee,Nee,Nee,Nee,200,Persoon en geboortedatum mogen niet leeg zijn; gezag kan niet bepaald worden => soort gezag is N kan niet bepalen
Ja,Nee_meerderjarig,,,,,,,,,,,,,,,,2m,NVT,Nee,Nee,Nee,Nee,210,Meerderjarig  => soort gezag is NVT niet van toepassing
Ja,Nee_overleden,,,,,,,,,,,,,,,,2o,N,Nee,Nee,Nee,Nee,220,Minderjarig; overleden  => soort gezag is N kan niet bepalen; er is nog geen beslissing genomen over de afhandeling van gezag bij overleden minderjarigen
Ja,Ja,,,,,,,,,,,,,,,,3e,N,Nee,Nee,Nee,Nee,300,Minderjarig; er staan echter gegevens in onderzoek bij vraag 1c => soort gezag is N kan niet bepalen;
Ja,Ja,Nee,Ja,,,,,,,,,,,,,,3ae,N,Nee,Nee,Nee,Nee,301,Minderjarig; geadopteerd met NL akte er staan echter gegevens in onderzoek bij vraag 1c => soort gezag is N kan niet bepalen;
Ja,Ja,Nee,,,,,,,,,,,,,,,3ee,N,Nee,Nee,Nee,Nee,310,Minderjarig; geboortegegevens in onderzoek => soort gezag is N kan niet bepalen
Ja,Ja,Ja,,,,,,,,,,,,,,,3,N,Nee,Nee,Nee,Nee,350,Minderjarig; er zijn emigratie gegevens gevonden en buitenlandse rechtspraak of gezagswetten zijn niet meegenomen => soort gezag is N kan niet bepalen;
Ja,Ja,Nee,Ja,Nee,,,,,,,,,,,,,3a,N,Nee,Nee,Nee,Nee,351,Minderjarig; geadopteerd met NL akte er zijn emigratie gegevens gevonden en buitenlandse rechtspraak of gezagswetten zijn niet meegenomen => soort gezag is N kan niet bepalen;
Ja,Ja,Nee,Nee,,,,,,,,,,,,,,4e,N,Nee,Nee,Nee,Nee,400,Minderjarig; er is een probleem met categorie 11 => soort gezag is N kan niet bepalen 
Ja,Ja,Nee,Ja,Ja,,,,,,,,,,,,,4ae,N,Nee,Nee,Nee,Nee,401,Minderjarig; geadopteerd met NL akte; er is een probleem met categorie 11 => soort gezag is N kan niet bepalen 
Ja,Ja,Nee,Nee,,Ja,,,,,,,,,,,,4ee,N,Nee,Nee,Nee,Nee,420,Minderjarig; staat onder toezicht; Preconditie: Ingangsdatum geldigheid gezag moet een valide datum bevatten => soort gezag is N kan niet bepalen
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,,,,,,,4aee,N,Nee,Nee,Nee,Nee,421,Minderjarig; geadopteerd met NL akte; staat onder toezicht; Er is een  probleem met de ingangsdatum categorie 11 indicatie gezag => soort gezag is N kan niet bepalen
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,,,,,,4eee,N,Nee,Nee,Nee,Nee,430,"Minderjarig; categorie 11; Categorie 11; categorie verder niet te bepalen, of buiten geldige waardes => soort gezag is niet te bepalen"
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,,,,,,4aeee,N,Nee,Nee,Nee,Nee,431,"Minderjarig; categorie 11; geadopteerd met NL-Akte; Categorie 11; categorie verder niet te bepalen, of buiten geldige waardes => soort gezag is niet te bepalen"
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1D,,,,,4,V,Nee,Nee,Nee,Nee,450,Minderjarig; categorie 11 ouder1 en een derde => soort gezag is V voogdij
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,1D,,,,,4a,V,Nee,Nee,Nee,Nee,451,Minderjarig; geadopteerd met NL akte; categorie 11 ouder1 en een derde => soort gezag is V voogdij
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2D,,,,,5,V,Nee,Nee,Nee,Nee,550,Minderjarig; categorie 11 ouder2 en een derde => soort gezag is V voogdij
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,2D,,,,,5a,V,Nee,Nee,Nee,Nee,551,Minderjarig; geadopteerd met NL akte; categorie 11 ouder2 en een derde => soort gezag is V voogdij
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,D,,,,,6,V,Nee,Nee,Nee,Nee,650,Minderjarig; categorie 11 een derde => soort gezag is V voogdij
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,D,,,,,6a,V,Nee,Nee,Nee,Nee,651,Minderjarig; geadopteerd met NL akte; categorie 11 een derde => soort gezag is V voogdij
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,,,,,7e,N,Nee,Nee,Nee,Nee,700,Minderjarig; categorie 11 ouder1 en ouder2; Preconditie: Ouders moeten een BSN hebben; gezag kan niet bepaald worden; soort gezag is N kan niet bepalen
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,12,,,,,7ae,N,Nee,Nee,Nee,Nee,701,Minderjarig; geadopteerd met NL akte; categorie 11 ouder1 en ouder2; Preconditie: Ouders moeten een BSN hebben; gezag kan niet bepaald worden; soort gezag is N kan niet bepalen
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Nee,,,,7,OG2,Ja,Ja,Nee,Nee,750,Minderjarig; categorie 11 ouder1 en ouder2; Beide ouders zijn bevoegd tot gezag => soort gezag is OG2 en beide ouders hebben gezag;
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,12,Nee,,,,7a,OG2,Ja,Ja,Nee,Nee,751,Minderjarig; geadopteerd met NL akte; categorie 11 ouder1 en ouder2; Beide ouders zijn bevoegd tot gezag => soort gezag is OG2 en beide ouders hebben gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Ja_ouder1,,,,8,OG1,Nee,Ja,Nee,Nee,850,Minderjarig; categorie 11 ouder1 en ouder2; ouder1 is onbevoegd tot gezag => soort gezag is OG1 en ouder2 heeft gezag;
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,12,Ja_ouder1,,,,8a,OG1,Nee,Ja,Nee,Nee,851,Minderjarig; geadopteerd met NL akte; categorie 11 ouder1 en ouder2; ouder1 is onbevoegd tot gezag => soort gezag is OG1 en ouder2 heeft gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Ja_ouder2,,,,9,OG1,Ja,Nee,Nee,Nee,950,Minderjarig; categorie 11 ouder1 en ouder2; Ouder2 is onbevoegd tot gezag => soort gezag is OG1 en ouder1 heeft gezag;
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,12,Ja_ouder2,,,,9a,OG1,Ja,Nee,Nee,Nee,951,Minderjarig; geadopteerd met NL akte; categorie 11 ouder1 en ouder2; Ouder2 is onbevoegd tot gezag => soort gezag is OG1 en ouder1 heeft gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Ja_beiden,,,,10,G,Nee,Nee,Nee,Nee,1050,Minderjarig; categorie 11 ouder1 en ouder2; Beide ouders zijn onbevoegd tot gezag => soort gezag is G tijdelijk geen gezag;
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,12,Ja_beiden,,,,10a,G,Nee,Nee,Nee,Nee,1051,Minderjarig; geadopteerd met NL akte; categorie 11 ouder1 en ouder2; Beide ouders zijn onbevoegd tot gezag => soort gezag is G tijdelijk geen gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,,,,11e,N,Nee,Nee,Nee,Nee,1100,Minderjarig; categorie 11 ouder1; persoonslijst van ouder1 heeft  gegevens in onderzoek => soort gezag is N kan niet bepalen;
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,1,,,,,11ae,N,Nee,Nee,Nee,Nee,1101,Minderjarig; geadopteerd met NL akte; categorie 11 ouder1; persoonslijst van ouder1 heeft gegevens in onderzoek => soort gezag is N kan niet bepalen;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Nee,,,11,OG1,Ja,Nee,Nee,Nee,1150,Minderjarig; categorie 11 ouder1; Beide ouders zijn bevoegd tot gezag => soort gezag is OG1 en ouder1 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,1,,Nee,,,11a,OG1,Ja,Nee,Nee,Nee,1151,Minderjarig; geadopteerd met NL akte; categorie 11 ouder1; Beide ouders zijn bevoegd tot gezag => soort gezag is OG1 en ouder1 heeft gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Nee_ouder1,,,11o1,OG1,Ja,Nee,Nee,Nee,1160,Minderjarig; categorie 11 ouder1; ouder1 is bevoegd tot gezag => soort gezag is OG1 en ouder1 heeft gezag
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,1,,Nee_ouder1,,,11ao1,OG1,Ja,Nee,Nee,Nee,1161,Minderjarig; geadopteerd met NL akte; categorie 11 ouder1; ouder1 is bevoegd tot gezag => soort gezag is OG1 en ouder1 heeft gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Nee_ouder2,,,11o2,G,Nee,Nee,Nee,Nee,1170,Minderjarig; categorie 11 ouder1; ouder1 is onbevoegd tot gezag =>  soort gezag is G tijdelijk geen gezag;
Ja,Ja,Nee,Ja,Ja,Ja,,,,,,Nee,1,,Nee_ouder2,,,11ao2,G,Nee,Nee,Nee,Nee,1171,Minderjarig; geadopteerd met NL akte; categorie 11 ouder1; ouder1 is onbevoegd tot gezag =>  soort gezag is G tijdelijk geen gezag;
