v0101,v0102,v0103,v0104,v0201,v02A01,v02A02,v02A03,v02B01,v0301,v0302,v04A02,V04A03,V04B01,Exception,route,soortGezag,gezag_ouder1,gezag_ouder2,gezag_niet_ouder1,gezag_niet_ouder2
Ja,Ja,Nee,Nee,Twee_ouders,Nee_gescheiden,null,null,null,null,null,Ja_beiden,null,null,null,48,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Ja,null,null,null,null,null,Nee,null,null,null,49,OG2,Ja,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Ja,null,null,null,null,null,Ja_ouder1,null,null,null,50,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Ja,null,null,null,null,null,Ja_ouder2,null,null,null,51,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Ja,null,null,null,null,null,Ja_beiden,null,null,null,52,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Voor,null,null,null,null,Ja,null,null,53,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Nee,Voor,null,null,null,null,Nee,null,null,54,OG1,Ja,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Ja,null,null,null,null,Nee,null,null,null,55,OG2,Ja,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Ja,null,null,null,null,Ja_ouder1,null,null,null,56,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Ja,null,null,null,null,Ja_ouder2,null,null,null,57,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Twee_ouders,Nee_nooit,Ja,null,null,null,null,Ja_beiden,null,null,null,58,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,1,null,null,null,null,11i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,1,null,Nee_ouder1,null,null,11o1,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,1,null,Nee_ouder2,null,null,11o2,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,2,null,null,null,null,13i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,2,null,Nee_ouder1,null,null,13o1,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,2,null,Nee_ouder2,null,null,13o2,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Ja,null,null,null,null,null,15i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,null,Ja,null,null,null,null,null,17i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Nee,Ja,null,null,null,null,null,17ii,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Nee,Ja,null,null,Nee_ouder1,null,null,18o1,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Nee,Ja,null,null,Nee_ouder2,null,null,18o2,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Ja,Ja,null,null,null,null,null,19i,N,Nee,Nee,Nee,Nee
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Ja,Ja,null,null,null,Ja_nietouder1,null,20no1,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Ja,Ja,null,null,null,Ja_nietouder2,null,20no2,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Ja,Ja,null,null,null,Ja_ouder1,null,21o1,V,Nee,Nee,Ja,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Ja,Ja,null,null,null,Ja_ouder2,null,21o2,V,Nee,Nee,Nee,Ja
Ja,Ja,Nee,Ja,Twee_ouders,null,null,null,null,null,null,null,null,null,null,23i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Ja,null,null,null,Ja,null,null,null,null,null,27i,N,Nee,Nee,Nee,Nee
Ja,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2i,N,Nee,Nee,Nee,Nee
Ja,Nee_meerderjarig,null,null,null,null,null,null,null,null,null,null,null,null,null,2m,NVT,Nee,Nee,Nee,Nee
Ja,Nee_overleden,null,null,null,null,null,null,null,null,null,null,null,null,null,2o,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Ja,null,null,Ja,null,null,null,null,null,31i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Nee,null,null,Ja,null,null,null,null,null,31ii,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Nee,Voor,null,Ja,null,null,null,null,null,31iii,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Nee,Na,null,Ja,null,Ja_ouder1,null,null,null,31n1,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Nee,Na,null,Ja,null,Ja_ouder2,null,null,null,31n2,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Nee,Na,null,Ja,null,Ja_beiden,null,null,null,31nb,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Nee,Na,null,Ja,null,null,null,null,null,31ni,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Nee,Na,null,Ja,null,null,Nee_ouder1,null,null,32no1,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Nee,Na,null,Ja,null,null,Nee_ouder2,null,null,32no2,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Nee,Voor,null,Ja,null,null,Nee_ouder1,null,null,32o1,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Nee,Voor,null,Ja,null,null,Nee_ouder2,null,null,32o2,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_nooit,Ja,null,null,Ja,null,null,null,null,null,33i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,null,null,null,null,null,null,null,null,null,null,null,37i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Een_ouder,null,null,null,null,null,null,null,null,null,null,39i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Een_ouder,null,null,null,Nee,null,null,null,null,null,null,39ii,N,Nee,Nee,Nee,Nee
Ja,Ja,null,null,null,null,null,null,null,null,null,null,null,null,null,3i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Een_ouder,null,null,null,Nee,null,null,null,Nee_ouder1,null,null,40o1,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Een_ouder,null,null,null,Nee,null,null,null,Nee_ouder2,null,null,40o2,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Een_ouder,null,null,null,Ja,null,null,null,null,null,null,41i,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Een_ouder,null,null,null,Ja,null,null,null,null,Ja_nietouder1,null,42no1,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Nee,Een_ouder,null,null,null,Ja,null,null,null,null,Ja_nietouder2,null,42no2,OG1,Ja,Ja,Nee,Nee
Ja,Ja,Nee,Nee,Een_ouder,null,null,null,Ja,null,null,null,null,Ja_ouder1,null,43o1,V,Nee,Nee,Ja,Nee
Ja,Ja,Nee,Nee,Een_ouder,null,null,null,Ja,null,null,null,null,Ja_ouder2,null,43o2,V,Nee,Nee,Nee,Ja
